,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Player-additional
0,1,"Achiuwa, Precious",C,22,TOR,73,1725,12.7,0.503,0.259,0.217,8.7,21.7,14.9,6.9,1.1,2.3,11.3,18.5,,0.4,2.1,2.5,0.07,,-2.0,-0.6,-2.6,-0.2,achiupr01
1,2,"Adams, Steven",C,28,MEM,76,1999,17.6,0.56,0.003,0.518,17.9,22.0,19.9,16.1,1.6,2.7,19.6,12.0,,3.8,3.0,6.8,0.163,,1.0,1.0,2.0,2.0,adamsst01
2,3,"Adebayo, Bam",C,24,MIA,56,1825,21.8,0.608,0.008,0.466,8.7,26.1,17.5,17.5,2.2,2.6,14.4,25.0,,3.6,3.5,7.2,0.188,,1.7,2.1,3.8,2.7,adebaba01
3,4,"Aldama, Santi",PF,21,MEM,32,360,10.2,0.452,0.364,0.242,9.4,16.1,12.6,7.7,0.8,2.5,9.9,18.4,,-0.1,0.4,0.3,0.044,,-4.2,-1.5,-5.7,-0.3,aldamsa01
4,5,"Aldridge, LaMarcus",C,36,BRK,47,1050,19.6,0.604,0.1,0.223,7.8,18.7,13.4,6.3,0.6,4.0,8.0,22.4,,2.1,1.0,3.1,0.141,,1.3,-0.6,0.7,0.7,aldrila01
5,6,"Alexander-Walker, Nickeil",SG,23,TOT,65,1466,10.5,0.475,0.497,0.16,2.7,11.5,7.1,16.1,1.5,1.5,11.3,24.1,,-1.1,1.1,0.1,0.003,,-1.8,-1.1,-2.9,-0.3,alexani01
6,6,"Alexander-Walker, Nickeil",SG,23,NOP,50,1317,10.5,0.474,0.483,0.153,3.0,11.0,6.9,16.1,1.5,1.4,11.2,24.8,,-1.1,0.9,-0.1,-0.005,,-1.7,-1.3,-3.0,-0.3,alexani01
7,6,"Alexander-Walker, Nickeil",SG,23,UTA,15,149,10.2,0.497,0.688,0.25,0.8,15.6,8.5,15.5,1.7,2.4,13.1,17.9,,0.0,0.2,0.2,0.07,,-2.9,1.2,-1.7,0.0,alexani01
8,7,"Allen, Grayson",SG,26,MIL,66,1805,12.7,0.609,0.684,0.13,1.9,10.9,6.5,7.6,1.2,1.0,6.7,15.2,,2.8,1.4,4.2,0.11,,0.6,-0.2,0.4,1.1,allengr01
9,8,"Allen, Jarrett",C,23,CLE,56,1810,23.0,0.698,0.018,0.428,12.0,24.5,18.4,8.2,1.2,3.7,12.7,18.1,,5.4,3.0,8.5,0.224,,2.7,1.2,3.9,2.7,allenja01
10,9,"Alvarado, Jose",PG,23,NOP,54,834,16.4,0.52,0.374,0.18,3.2,10.2,6.6,26.9,4.2,0.8,11.2,18.4,,1.0,1.1,2.1,0.121,,-0.5,2.4,1.9,0.8,alvarjo01
11,10,"Anderson, Justin",SF,28,TOT,16,316,10.4,0.493,0.621,0.2,1.4,15.0,8.1,14.2,1.2,1.7,7.2,15.1,,0.2,0.2,0.4,0.054,,-1.9,-1.3,-3.2,-0.1,anderju01
12,10,"Anderson, Justin",SF,28,CLE,3,47,10.7,0.666,0.75,0.5,0.0,13.8,7.1,17.3,1.1,0.0,17.0,11.1,,0.1,0.0,0.1,0.124,,-3.0,0.4,-2.6,0.0,anderju01
13,10,"Anderson, Justin",SF,28,IND,13,269,10.3,0.475,0.609,0.172,1.6,15.2,8.3,13.6,1.3,1.9,6.0,15.8,,0.1,0.1,0.2,0.041,,-1.7,-1.6,-3.3,-0.1,anderju01
14,11,"Anderson, Kyle",PF,28,MEM,69,1484,14.4,0.506,0.232,0.224,4.8,21.6,13.0,16.2,2.5,2.7,12.1,16.2,,1.0,2.5,3.5,0.113,,-0.9,2.1,1.2,1.2,anderky01
15,12,"Antetokounmpo, Giannis",PF,27,MIL,67,2204,32.1,0.633,0.194,0.615,6.6,30.4,18.7,31.7,1.6,4.0,12.2,34.9,,9.2,3.7,12.9,0.281,,7.6,3.5,11.2,7.4,antetgi01
16,13,"Antetokounmpo, Thanasis",SF,29,MIL,48,473,12.5,0.577,0.109,0.359,9.2,13.4,11.3,6.5,1.6,2.4,14.9,15.7,,0.4,0.5,0.9,0.095,,-3.5,-0.1,-3.5,-0.2,antetth01
17,14,"Anthony, Carmelo",PF,37,LAL,69,1793,14.8,0.579,0.549,0.22,3.7,13.5,8.6,5.6,1.3,2.6,6.9,20.4,,2.2,1.4,3.6,0.097,,0.4,-0.8,-0.5,0.7,anthoca01
18,15,"Anthony, Cole",PG,21,ORL,65,2059,13.5,0.519,0.429,0.277,1.6,16.2,8.9,28.9,1.1,0.8,14.2,25.1,,-0.1,1.7,1.6,0.038,,-0.6,-0.6,-1.2,0.4,anthoco01
19,16,"Anunoby, OG",SF,24,TOR,48,1728,14.8,0.549,0.455,0.169,4.4,12.6,8.3,11.0,2.1,1.4,9.7,20.5,,1.8,1.9,3.7,0.104,,0.4,0.1,0.5,1.1,anunoog01
20,17,"Arcidiacono, Ryan",PG,27,NYK,10,76,6.1,0.667,0.75,0.0,0.0,11.5,5.7,7.5,0.7,0.0,20.0,8.6,,0.0,0.1,0.1,0.052,,-4.6,0.0,-4.6,-0.1,arcidry01
21,18,"Ariza, Trevor",SF,36,LAL,24,462,7.0,0.449,0.747,0.182,2.3,16.7,9.5,7.5,1.3,1.2,9.3,11.0,,-0.2,0.4,0.2,0.02,,-3.3,-0.2,-3.4,-0.2,arizatr01
